class_id,class_oredr,class_id,class_oredr,class_id,class_oredr,class_id,class_oredr,class_id,class_oredr,class_id,class_oredr
101,I,3,"I BSC IT -C++, I MCOM CA -PYT",2,"I AI&DS -PYT, I MCOM CA -TALLY",,,,,,
102,II,3,I BSC IT -INTERNET,2,I AI&DS -INTERNET,,,,,,
103,III,3,I BSC CS -C++,2,I BSC IT -C++,,,,,,
104,IV,3,II BSC CS B -LINUX,2,I BSC CS -C++,,,,,,
105,V,3,I BSC CS -INTERNET,2,I AI&DS -PYT,,,,,,
106,VI,3,II BSC CS A -LINUX,2,I AI&DS -INTERNET,,,,,,
