class_id,class_oredr,class_id,class_oredr,class_id,class_oredr,class_id,class_oredr,class_id,class_oredr,class_id,class_oredr
101,I,3,"III BSC CDF -CAD, I MCOM -MS OFF, INT",2,III BCOM IT -JAVA,,,,,,
102,II,3,II BSC CS A -SPM,2,"III BSC CDF -CAD, I MCOM -MS OFF, INT",,,,,,
103,III,3,"II BSC IT -HTML, J.S",2,III BCOM CA B -VB,,,,,,
104,IV,3,III BCOM IT -JAVA,2,III BCOM CA A -VB,,,,,,
105,V,3,III BCA -GM,2,III BCOM CA B -VB,,,,,,
106,VI,3,II BSC CS B -SPM,2,III BCOM CA A -VB,,,,,,
